Country,University,Website
Albania,Epoka University,https://www.epoka.edu.al/
Albania,Polytechnic University of Tirana,https://unitir.edu.al/
Armenia,National Polytechnic University of Armenia,https://polytech.am/en/
Austria,TU Wien,https://www.tuwien.at/en/
Austria,TU Graz,https://www.tugraz.at/en/
Austria,Johannes Kepler University Linz (JKU),https://www.jku.at/en/
Austria,FACHHOCHSCHULE KÄRNTEN,http://www.fh-kaernten.at
Austria,Universität für Weiterbildung Krems,http://www.donau-uni.ac.at
Austria,Virtual Vehicle Research GmbH,http://www.virtual-vehicle.at
Belarus,Belarusian National Technical University (BNTU),https://bntu.by/
Belarus,Polotsk State University,https://www.psu.by/en/
Belarus,State University of Transport (BelSUT),https://belsut.by/en/
Belgium,KU Leuven,https://www.kuleuven.be/
Belgium,Ghent University,https://www.ugent.be/en
Belgium,Université catholique de Louvain (UCLouvain),https://uclouvain.be/en/index.html
Belgium,University of Liège (ULiège),https://www.uliege.be/cms/c_8699436/en/uliege
Belgium,CRESYM,http://www.cresym.eu
Belgium,UMONS,http://www.umons.ac.be
Bosnia and Herzegovina,University of Mostar,https://www.sum.ba/
Bosnia and Herzegovina,University of Sarajevo (ETF),https://www.etf.unsa.ba/
Bosnia and Herzegovina,University of Banja Luka (ETF),https://etf.unibl.org/en/
Bosnia and Herzegovina,University of Tuzla,https://www.etf.untz.ba/
Bulgaria,Technical University of Sofia,https://www.tu-sofia.bg/
Bulgaria,Technical University of Varna,https://www.tu-varna.bg/
Bulgaria,Technical University of Gabrovo,https://www.tugab.bg/en
Croatia,University of Zagreb (FER),https://www.fer.unizg.hr/en/
Croatia,University of Split (FESB),https://www.fesb.unist.hr/
Croatia,University North – Varaždin,https://www.unin.hr/
Croatia,Faculty of Electrical Engineering in Osijek,http://www.ferit.hr
Cyprus,University of Cyprus,https://www.ucy.ac.cy/en/
Cyprus,Cyprus University of Technology,https://www.cut.ac.cy/
Cyprus,European University Cyprus,https://euc.ac.cy/en/
Czech Republic,Czech Technical University in Prague (CTU),https://www.cvut.cz/en
Czech Republic,Brno University of Technology (BUT),https://www.vut.cz/en/
Czech Republic,University of West Bohemia (UWB),https://www.zcu.cz/en/
Czechia,Czech Academy of Sciences,http://www.avcr.cz
Czechia,Brno University of Technology,http://www.vut.cz
Denmark,Technical University of Denmark (DTU),https://www.dtu.dk/
Denmark,Aalborg University,https://www.en.aau.dk/
Denmark,Aarhus University,https://international.au.dk/
Denmark,University of Southern Denmark (SDU),https://www.sdu.dk/en
Denmark,Aalborg University Esbjerg Campus,https://www.en.aau.dk/
Denmark,Visiopharm,http://www.visiopharm.com
Denmark,Erhvervsakademi Dania,http://www.eadania.dk
Estonia,Tallinn University of Technology (TalTech),https://taltech.ee/en/
Estonia,University of Tartu,https://ut.ee/en
Estonia,Estonian University of Life Sciences,https://www.emu.ee/en/
Finland,Aalto University,https://www.aalto.fi/
Finland,Tampere University,https://www.tuni.fi/en
Finland,LUT University,https://www.lut.fi/en
Finland,University of Oulu,https://www.oulu.fi/en
Finland,University of Vaasa,https://www.uwasa.fi/en
Finland,Oulu University of Applied Sciences,http://www.oamk.fi
Georgia,Georgian Technical University,https://gtu.ge/eng/
Germany,Karlsruhe Institute of Technology (KIT),https://www.kit.edu/
Germany,RWTH Aachen University,https://www.rwth-aachen.de/
Germany,Technical University of Munich (TUM),https://www.tum.de/
Germany,Technische Universität Berlin (TU Berlin),https://www.tu.berlin/
Germany,Technische Universität Dresden (TU Dresden),https://tu-dresden.de/
Germany,Technische Universität Dortmund (TU Dortmund),https://www.tu-dortmund.de/
Germany,University of Stuttgart,https://www.uni-stuttgart.de/
Germany,Hochschule München (HM),https://www.hm.edu/
Germany,Technische Hochschule Nürnberg Georg Simon Ohm,https://www.th-nuernberg.de/
Germany,Technische Hochschule Mittelhessen (THM),https://www.thm.de/
Germany,Ernst-Abbe-Hochschule Jena (EAH Jena),https://www.eah-jena.de/
Germany,Hochschule Kempten,https://www.hs-kempten.de/
Germany,Fachhochschule Dortmund (FH Dortmund),https://www.fh-dortmund.de/
Germany,Hochschule Mannheim,https://www.hs-mannheim.de/
Germany,Esslingen University of Applied Sciences,https://www.hs-esslingen.de/
Germany,Hochschule Furtwangen,https://www.hs-furtwangen.de/
Germany,Hochschule Heilbronn,https://www.hs-heilbronn.de/
Germany,Hochschule Niederrhein,https://www.hs-niederrhein.de/
Germany,Hochschule Trier,https://www.hochschule-trier.de/
Germany,Hochschule Hamm-Lippstadt (HSHL),https://www.hshl.de/
Germany,Hochschule Nordhausen,https://www.hs-nordhausen.de/
Germany,Hochschule Stralsund,https://www.hochschule-stralsund.de/
Germany,Hochschule Augsburg (University of Applied Sciences),https://www.hs-augsburg.de/
